run,25%,50%,75%,count,max,mean,min,std,price_solo,price_pooled,size,n_fleets,Type,pc_diff
3,2.5,3.575000047683716,4.783339500427246,1263.0,14.083333015441896,3.758387804031372,0.0,1.94571852684021,1.0,1.0,1.0,1,RH solo,0.0
4,2.283333301544189,3.397013902664185,4.617777824401856,1276.0,13.983333587646484,3.5795233249664307,0.0,1.9517664909362795,1.0,1.0,1.0,2,RH solo,-4.9786333607142215
5,2.033333301544189,3.025000095367432,4.331666827201843,1262.0,13.68333339691162,3.353900194168091,0.0,1.9743479490280151,1.0,1.0,1.0,5,RH solo,-15.384613845603587
6,2.137291729450226,2.9989583492279053,4.059027791023254,1344.0,14.283333778381348,3.2612221240997314,0.0,1.7726458311080933,1.0,1.0,1.64,5,RH solo,-16.11305428734287
7,2.1052380204200745,2.936931848526001,3.867708921432495,1346.0,12.366666793823242,3.140927791595459,0.0,1.6344819068908691,1.0,1.0,2.0,5,RH solo,-17.848061276841847
8,2.0047619342803955,2.748016357421875,3.616670846939087,1393.0,14.0,2.950662136077881,0.0,1.59952712059021,1.0,1.0,4.0,5,RH solo,-23.132410607872668
9,1.8371795415878296,2.6027777194976807,3.390275239944458,1401.0,14.899999618530272,2.7580435276031494,0.0,1.4360017776489258,1.0,1.0,10.0,5,RH solo,-27.19502979631984
10,2.5166680812835693,3.472908973693848,4.534950494766235,1355.0,14.283333778381348,3.6155622005462646,0.0,1.751481056213379,1.0,1.0,1.64,2,RH solo,-2.855694339249414
11,2.4241607189178467,3.323959469795227,4.258333206176758,1372.0,14.133333206176758,3.4742321968078613,0.0,1.6857906579971311,1.0,1.0,2.0,2,RH solo,-7.0221139731491995
12,2.382516860961914,3.217689275741577,4.0333333015441895,1393.0,14.266666412353516,3.355701446533203,0.0,1.5926638841629028,1.0,1.0,4.0,2,RH solo,-9.994706774161989
13,2.315881907939911,3.070210695266724,3.827751994132996,1406.0,12.616666793823242,3.1613245010375977,0.0,1.4600954055786133,1.0,1.0,10.0,2,RH solo,-14.119981697456218
14,2.6083333492279053,3.642499923706055,4.935555696487427,1263.0,14.300000190734863,3.939208507537842,0.0,2.1073596477508545,0.47,0.47,1.0,2,RH solo,1.8881083950215125
15,2.210416615009308,3.262500047683716,4.497222185134888,1238.0,14.350000381469728,3.502967834472656,0.0,1.917659401893616,0.47,0.47,1.0,5,RH solo,-8.741258624666939
16,2.355555534362793,3.267779588699341,4.373339653015137,1325.0,13.483333587646484,3.495765686035156,0.0,1.7473772764205933,0.47,0.47,1.64,5,RH solo,-8.593579157668172
17,2.4068862199783325,3.2497204542160034,4.151231288909912,1354.0,14.266666412353516,3.404150485992432,0.0,1.6118894815444946,0.47,0.47,2.0,5,RH solo,-9.09872976584895
18,2.4552159309387207,3.148810625076294,3.9061570167541504,1391.0,13.31666660308838,3.287139177322388,0.0,1.408320069313049,0.47,0.47,4.0,5,RH solo,-11.921382291548637
19,2.34468150138855,3.103124976158142,3.8113377690315247,1404.0,13.783333778381348,3.160164356231689,0.0,1.3687483072280884,0.47,0.47,10.0,5,RH solo,-13.1993025239624
20,2.3499999046325684,3.479725956916809,4.698609709739685,1176.0,14.75,3.719655990600586,0.0,2.046966075897217,0.27,0.27,1.0,2,RH solo,-2.6650094963952777
21,2.1626665592193604,3.299999952316284,4.579999923706055,1221.0,13.966666221618652,3.554530620574951,0.0,1.992539882659912,0.27,0.27,1.0,5,RH solo,-7.692310257327336
22,2.433333396911621,3.41333556175232,4.576666831970215,1309.0,14.899999618530272,3.6579225063323975,0.0,1.8806037902832031,0.27,0.27,1.64,5,RH solo,-4.522083462240521
23,2.4260424375534058,3.259518384933472,4.292083024978638,1351.0,12.883333206176758,3.438253879547119,0.0,1.5899289846420288,0.27,0.27,2.0,5,RH solo,-8.82466177740747
24,2.484736442565918,3.2478387355804443,4.023038387298584,1391.0,13.300000190734863,3.3401694297790527,0.0,1.3917876482009888,0.27,0.27,4.0,5,RH solo,-9.151365251456237
25,2.4437499046325684,3.08648943901062,3.780558824539185,1405.0,10.333333015441896,3.1970109939575195,0.0,1.2266041040420532,0.27,0.27,10.0,5,RH solo,-13.66463222817598
26,2.137500047683716,3.375,4.822908401489258,1067.0,14.68333339691162,3.672839403152466,0.0,2.1806678771972656,0.125,0.125,1.0,2,RH solo,-5.5944068535970555
27,2.1466667652130127,3.3645832538604736,4.701667785644531,1099.0,14.350000381469728,3.60570764541626,0.0,2.0525355339050293,0.125,0.125,1.0,5,RH solo,-5.885784364102979
28,2.27406907081604,3.283333301544189,4.643747806549072,1249.0,12.416666984558104,3.587526321411133,0.0,1.952244997024536,0.125,0.125,1.64,5,RH solo,-8.158510272706181
29,2.250001907348633,3.1694488525390625,4.275927543640137,1285.0,14.116666793823242,3.4300613403320312,0.0,1.771567702293396,0.125,0.125,2.0,5,RH solo,-11.344089223366995
30,2.5467501878738403,3.2838196754455566,4.098312139511108,1382.0,14.733333587646484,3.44202208518982,0.0,1.5198851823806765,0.125,0.125,4.0,5,RH solo,-8.144905408513724
31,2.496465265750885,3.263760566711426,3.98841655254364,1406.0,12.766666412353516,3.343789577484131,0.0,1.381493091583252,0.125,0.125,10.0,5,RH solo,-8.705999351634855
32,2.275000095367432,3.5999999046325684,5.188889026641846,1021.0,14.899999618530272,3.892913818359375,0.0,2.259765625,0.0625,0.0625,1.0,2,RH solo,0.6992966885427103
33,2.066666603088379,3.222022771835327,4.5333333015441895,1038.0,13.016666412353516,3.5136501789093018,0.0,2.10085129737854,0.0625,0.0625,1.0,5,RH solo,-9.873490101827741
34,2.1666667461395264,3.266163825988769,4.557160973548889,1206.0,14.600000381469728,3.502727746963501,0.0,1.9725826978683472,0.0625,0.0625,1.64,5,RH solo,-8.638775316801613
35,2.418298959732056,3.461904764175415,4.587500095367432,1253.0,14.083333015441896,3.7037642002105713,0.0,1.976573467254639,0.0625,0.0625,2.0,5,RH solo,-3.1635043916034777
36,2.667593836784363,3.527782201766968,4.321040153503418,1355.0,13.0,3.5971546173095703,0.0,1.525818109512329,0.0625,0.0625,4.0,5,RH solo,-1.3207788891454868
37,2.567444562911988,3.2874984741210938,4.0212249755859375,1403.0,12.416666984558104,3.378263473510742,0.0,1.3310967683792114,0.0625,0.0625,10.0,5,RH solo,-8.042001950430677
38,2.762702465057373,3.637458324432373,4.671905994415283,1357.0,11.300000190734863,3.840157270431519,0.0,1.5933887958526611,1.0,0.0,1.0,1,RH solo,1.7470846409953105
39,3.1139962673187256,3.8338623046875,4.6801416873931885,1375.0,11.75,3.97969102859497,0.0,1.43174409866333,1.0,0.0,1.0,2,RH solo,7.24090219723225
40,3.2793710231781006,4.050000190734863,4.967398405075073,1367.0,13.283333778381348,4.2042412757873535,0.0,1.5048224925994873,1.0,0.0,1.0,5,RH solo,13.286717110924393
41,3.2899961471557617,3.886112689971924,4.585145950317383,1393.0,11.600000381469728,4.023672580718994,0.0,1.2315562963485718,1.0,0.0,1.64,5,RH solo,8.7024514164631
42,3.275250256061554,3.892051696777344,4.613255023956299,1396.0,12.350000381469728,4.036243438720703,0.0,1.2775733470916748,1.0,0.0,2.0,5,RH solo,8.868577478734576
43,3.012263417243957,3.5783021450042725,4.234721899032593,1410.0,10.283333778381348,3.6945838928222656,0.0,1.130058765411377,1.0,0.0,4.0,5,RH solo,0.09236635738497705
44,2.551007568836212,2.951281309127808,3.509343564510345,1412.0,14.483333587646484,3.091902017593384,0.2000000029802322,0.950680136680603,1.0,0.0,10.0,5,RH solo,-17.44667776885828
3,1.8114198446273804,2.3552117347717285,3.046721398830414,1400.0,14.93333339691162,2.6200027465820312,0.016666667535901,1.3444616794586182,1.0,1.0,1.0,1,RH pooled,0.0
4,2.092276334762573,2.5999999046325684,3.262732744216919,1401.0,12.783333778381348,2.85184645652771,0.016666667535901,1.265735745429993,1.0,1.0,1.0,2,RH pooled,10.39346765502445
5,2.208314001560211,2.742675304412842,3.430801451206208,1400.0,10.210416793823242,2.94325590133667,0.016666667535901,1.2220221757888794,1.0,1.0,1.0,5,RH pooled,16.451326389075884
6,1.785431146621704,2.256887674331665,2.942041516304016,1407.0,11.972222328186035,2.496655225753784,0.016666667535901,1.1575374603271484,1.0,1.0,1.64,5,RH pooled,-4.17474399385978
7,1.5896515250205994,2.055311679840088,2.692279756069184,1406.0,11.766666412353516,2.307521104812622,0.3166666626930237,1.2311382293701172,1.0,1.0,2.0,5,RH pooled,-12.73346470315152
8,0.9352491497993468,1.3124618530273438,1.794090986251831,1409.0,10.287009239196776,1.5742329359054563,0.0666666701436042,1.099043369293213,1.0,1.0,4.0,5,RH pooled,-44.27414598651573
9,0.5291476249694824,0.7170895636081696,1.0373224318027496,1410.0,9.961267471313477,1.0071945190429688,0.0,1.028078317642212,1.0,1.0,10.0,5,RH pooled,-69.55307444246955
10,1.6210219860076904,2.095170021057129,2.765986204147339,1407.0,9.838096618652344,2.3624167442321777,0.016666667535901,1.180077075958252,1.0,1.0,1.64,2,RH pooled,-11.041118294181874
11,1.3778384923934937,1.8253799676895144,2.48216712474823,1408.0,10.949999809265137,2.1001136302948,0.3261904716491699,1.2145713567733765,1.0,1.0,2.0,2,RH pooled,-22.496141610536196
12,0.7825882434844971,1.1282992959022522,1.6355774998664856,1408.0,14.699999809265137,1.4202923774719238,0.0333333350718021,1.1666839122772217,1.0,1.0,4.0,2,RH pooled,-52.09350907842648
13,0.4625000059604645,0.6320912837982178,0.9407407641410828,1413.0,11.223687171936035,0.9367886781692504,0.0,1.0825351476669312,1.0,1.0,10.0,2,RH pooled,-73.16201874904971
14,2.2643190026283264,2.8150781393051147,3.567832589149475,1402.0,14.366666793823242,3.0490286350250244,0.0277777686715126,1.3232094049453735,0.47,0.47,1.0,2,RH pooled,19.52548035253218
15,2.366374135017395,2.904210090637207,3.5489308834075928,1395.0,12.43333339691162,3.096606969833374,0.0333333350718021,1.187803030014038,0.47,0.47,1.0,5,RH pooled,23.309936332271562
16,2.0850571393966675,2.5654184818267822,3.253596067428589,1404.0,14.983333587646484,2.823292255401612,0.0833333358168602,1.242920994758606,0.47,0.47,1.64,5,RH pooled,8.92517407040804
17,1.837909460067749,2.364814758300781,2.985951662063598,1407.0,12.0,2.577951192855835,0.2666666805744171,1.1776564121246338,0.47,0.47,2.0,5,RH pooled,0.40773504085750634
18,1.1608703136444092,1.561070203781128,2.077000617980957,1409.0,13.666666984558104,1.806947469711304,0.0555555559694767,1.1430246829986572,0.47,0.47,4.0,5,RH pooled,-33.71847716560271
19,0.6066706776618958,0.8370461165904999,1.233450472354889,1410.0,10.543002128601074,1.1224277019500732,0.0,1.0361086130142212,0.47,0.47,10.0,5,RH pooled,-64.45983585116487
20,2.286432266235352,2.824467778205872,3.528177499771118,1388.0,13.31666660308838,3.0360209941864014,0.0333333350718021,1.2645525932312012,0.27,0.27,1.0,2,RH pooled,19.92415528957207
21,2.394442558288574,2.927961587905884,3.594442844390869,1397.0,11.505555152893066,3.1063883304595947,0.0666666701436042,1.154948592185974,0.27,0.27,1.0,5,RH pooled,24.318401809834192
22,2.2631707191467285,2.726142644882202,3.386276364326477,1407.0,13.466666221618652,2.943019390106201,0.0,1.1425271034240725,0.27,0.27,1.64,5,RH pooled,15.74936574211766
23,2.109957754611969,2.5307945013046265,3.093343734741211,1406.0,12.550000190734863,2.743863821029663,0.2722249925136566,1.1245605945587158,0.27,0.27,2.0,5,RH pooled,7.455073526538614
24,1.44246643781662,1.82142037153244,2.3283682465553284,1410.0,12.67222785949707,2.045527458190918,0.2055555582046508,1.0395430326461792,0.27,0.27,4.0,5,RH pooled,-22.66426221296934
25,0.6805351972579956,0.919588565826416,1.2746694386005402,1410.0,9.360339164733888,1.1903201341629028,0.0,1.0317562818527222,0.27,0.27,10.0,5,RH pooled,-60.955163722655946
26,2.2770442962646484,2.820833444595337,3.533795118331909,1397.0,12.741677284240724,3.044282913208008,0.016666667535901,1.260805606842041,0.125,0.125,1.0,2,RH pooled,19.769845018572706
27,2.528124392032624,3.099786400794983,3.794057428836824,1398.0,13.583333015441896,3.2935869693756104,0.016666667535901,1.2691659927368164,0.125,0.125,1.0,5,RH pooled,31.613916278971832
28,2.3886070251464844,2.9140257835388184,3.5654754638671875,1401.0,12.833333015441896,3.097578525543213,0.0333333350718021,1.1779427528381348,0.125,0.125,1.64,5,RH pooled,23.726701107883667
29,2.2064313888549805,2.6666667461395264,3.353638291358948,1407.0,11.508333206176758,2.90298080444336,0.0833333358168602,1.125665307044983,0.125,0.125,2.0,5,RH pooled,13.224076917143277
30,1.7198346853256226,2.0755207538604736,2.663328170776367,1413.0,13.649999618530272,2.3440942764282227,0.1500000059604644,1.127044916152954,0.125,0.125,4.0,5,RH pooled,-11.87540707198298
31,0.8925970792770386,1.2009118795394895,1.6120744943618774,1414.0,10.5830659866333,1.440629959106445,0.3166666626930237,0.9958658814430236,0.125,0.125,10.0,5,RH pooled,-49.010449387223176
32,2.366666555404663,2.925260543823242,3.6711504459381104,1393.0,14.600000381469728,3.142040729522705,0.1000000014901161,1.300877571105957,0.0625,0.0625,1.0,2,RH pooled,24.20371810463843
33,2.529985308647156,3.0919768810272217,3.731853127479553,1395.0,12.983333587646484,3.2563791275024414,0.1500000059604644,1.2251124382019043,0.0625,0.0625,1.0,5,RH pooled,31.282331663777217
34,2.3359750509262085,2.8394038677215576,3.5276870727539062,1399.0,12.050000190734863,3.054861545562744,0.0333333350718021,1.2047927379608154,0.0625,0.0625,1.64,5,RH pooled,20.558327126234275
35,2.4202051162719727,2.9260177612304688,3.574162006378174,1405.0,13.166666984558104,3.1072001457214355,0.016666667535901,1.1227028369903564,0.0625,0.0625,2.0,5,RH pooled,24.235868819414822
36,2.004890918731689,2.4430556297302246,3.0499420166015625,1411.0,13.033333778381348,2.6591928005218506,0.3833333253860473,1.0839345455169678,0.0625,0.0625,4.0,5,RH pooled,3.7297663586501315
37,1.0134333372116089,1.3408828973770142,1.7594733238220217,1413.0,11.086636543273926,1.588680386543274,0.1200008317828178,1.0582860708236694,0.0625,0.0625,10.0,5,RH pooled,-43.06741608066185
38,1.9305336773395536,2.5428009033203125,3.4238040447235107,1386.0,14.333333015441896,2.8431973457336426,0.016666667535901,1.428032159805298,1.0,0.0,1.0,1,RH pooled,7.964853680841798
39,2.132873058319092,2.7054919004440308,3.4752089977264404,1364.0,11.0,2.925935983657837,0.0333333350718021,1.279836893081665,1.0,0.0,1.0,2,RH pooled,14.87255521449973
40,2.3624987602233887,3.016652822494507,3.8366665840148926,1369.0,11.544445037841797,3.250192880630493,0.0333333350718021,1.3803647756576538,1.0,0.0,1.0,5,RH pooled,28.08414538520828
41,2.1413557529449463,2.6755943298339844,3.327397346496582,1388.0,14.06666660308838,2.8656554222106934,0.016666667535901,1.28146231174469,1.0,0.0,1.64,5,RH pooled,13.60313343943609
42,2.120438575744629,2.624905228614807,3.3979371190071106,1394.0,14.383333206176758,2.8772389888763428,0.050000000745058,1.2687432765960691,1.0,0.0,2.0,5,RH pooled,11.450923492839078
43,1.4989166259765625,1.9848690032958984,2.568874955177307,1407.0,12.641666412353516,2.2173900604248047,0.016666667535901,1.1980143785476685,1.0,0.0,4.0,5,RH pooled,-15.724392249248215
44,0.6136946082115173,0.8425109386444092,1.244626224040985,1411.0,11.277777671813965,1.1502989530563354,0.0333333350718021,1.0922338962554932,1.0,0.0,10.0,5,RH pooled,-64.22780482086606
