,0:,10,11,12,13,14,15,16,17,18,19,20,21,22,23,4:,5:,6:,7:,8:,9:,1:,2:,3:
1 North Lamar/South Congress,19.590773095623355,14.59812216586165,14.624033480302975,14.457701438904442,13.974102686153833,13.442420371759354,12.668473502113775,12.37284134468532,12.651964988117882,14.031948568319054,15.064081558371504,16.21506157229334,17.096433712312628,17.142888932734156,17.192730325808302,12.99429302417222,13.182830784366294,14.792531637269478,14.00007954237329,14.242730725903288,14.384455764412335,,,
10 South 1st/Red River,13.413042689932581,11.819361322434807,11.612199751272666,11.441121577938093,11.325772803959474,10.917496596043181,10.37917574557869,9.823292187517772,10.143274142931503,11.585694757155764,12.412958039637147,12.919483703794663,13.330634902448589,13.733309719559035,13.728750877747352,11.924942791799221,12.797398132237237,11.153908557674542,10.896128757681659,11.568125421633308,12.12556925828656,,,
103 Menchaca Flyer,,,,,,,,4.75986040358706,9.004136165964766,11.974818933580563,,,,,,,,13.360125322471898,11.606637401125944,10.59621709872567,,,,
105 South 5th Flyer,,,,,,,9.473328165706508,9.660763121189364,8.874707968606508,11.807599370342555,,,,,,,,10.010419074934958,10.389912614944679,10.44160417825087,8.973868726734418,,,
111 South Mopac Flyer,,,,,,,,11.916239177857753,14.496834238428589,16.491811427203164,,,,,,,,23.214975259088796,15.077793646669392,14.952145366280481,,,,
135 Dell Limited,,,,,,,,,,26.035767451309727,26.035767451309727,,,,,,25.62913630844035,25.62913630844035,28.879351262720913,,,,,
142 Metric Flyer,,,,,,,,11.316103744197532,12.25820382805452,15.56076362293448,,,,,,,,13.158379698866332,11.91224891252108,12.671546598208446,,,,
150 150 ROUND ROCK HOWARD LIMITED,,21.91322428811177,21.91322428811177,21.91322428811177,21.91322428811177,21.91322428811177,21.91322428811177,21.91322428811177,21.91322428811177,21.91322428811177,23.06655188222292,23.276188261873614,,,,,,19.06489928378108,21.91322428811177,21.91322428811177,21.91322428811177,,,
152 Round Rock Tech Ridge LIMITED,,,,,,,,20.32897778803066,19.952515236400462,,,,,,,,,22.542282758711107,21.5487164553125,19.782376360381644,,,,
17 Cesar Chavez,12.93833450769779,10.982061908930874,10.982061908930874,10.982061908930874,10.982061908930874,10.671970731897215,10.00785636057524,9.06996159822387,9.028097775630053,11.167907616951801,11.634461626293103,11.701320710673551,12.567707211289877,12.567707211289877,12.59014954559575,,11.596190370943456,11.234964331836242,11.09438826991915,11.101011611491705,10.988922174096672,,,
171 Oak Hill Flyer,,,,18.843506506587662,14.779165418611734,,12.786665129470197,12.625211290280468,13.492082734753016,16.673103573068214,,,,,,,,15.914989959645728,15.04652427302619,14.835328377733335,,,,
18 Martin Luther King,77.31195887690497,16.655308900776074,16.785995660046577,16.840059117158333,16.830837122758993,15.923802688902871,15.429703938753796,14.196707129040751,14.246109035801537,16.621320750328625,17.114329720323298,17.79966123432383,17.83540838110617,17.784903085904865,17.711343428770167,16.99789654969578,16.03743748056466,17.265036670461974,16.41248445572402,16.415094230236924,16.563898100950002,,,
19 Bull Creek,,14.720168388061115,14.7279586282892,14.738732035816497,14.714893433911188,14.336707140272116,13.771133167165237,13.273761296868235,13.039830315960332,13.995313424268744,15.653139538622638,15.659215453079982,15.649391707765764,15.78257410752044,19.53040111396735,12.816259640739466,11.93528706677062,15.45139728916991,14.817447147164106,14.940517583681203,14.728850985026533,,,
2 Rosewood,12.658301576148991,10.708913252236465,10.705490447834,10.705490447834,10.653181883831492,10.105920387520623,9.756422145721057,9.303308343770173,9.59538989873349,10.288943288014636,11.661426478873425,11.707706574865268,11.707706574865268,11.707706574865268,11.715747582128225,,11.463796021222242,10.938886804668021,10.19049735622235,10.295952941251759,10.780915573620042,,,
20 Manor Rd/Riverside,17.9802800625571,14.742516831649336,14.677344667698645,14.690800622365375,14.63017171350502,14.193244942814797,13.627580840283178,13.438252899202162,12.7719158324908,13.597760930906617,14.885652998678628,15.520677441520881,15.484332474184791,15.547666396956895,16.61168229952724,15.659420756701143,13.452561563675621,14.850257299159814,14.256272001334414,14.16586715749433,14.659855882560668,,,
201 Southpark Meadows,,17.693349188445612,17.693349188445612,17.693349188445612,17.693349188445612,16.832728484000476,16.832728484000476,16.832728484000476,16.832728484000476,16.832728484000476,17.977642738420144,17.936093308409042,17.936093308409042,,,,,17.509043467732635,16.71317785556297,16.968198433187865,17.35409618040757,,,
214 Northwest Feeder,,27.487356037300234,28.42283043448572,23.47584203651564,23.77200805924983,25.48220160062885,26.11770095940885,25.652604801810543,25.50785979122729,28.59773233810527,27.17505506358966,27.80369586239888,23.345628010098743,,,,25.138685363911875,26.288525813764235,26.825187396144713,27.487356037300234,27.487356037300234,,,
217 MONTOPOLIS FEEDER,13.765062562170652,19.41403249496778,19.41403249496778,19.41403249496778,19.41403249496778,17.105007942211994,11.313891615597102,11.228327499064754,12.253992030229323,15.696495239008595,18.88630730432251,20.671961166347984,17.79018219334408,17.663094333884544,17.576734855568894,20.023663070847316,17.211809677751514,15.526863979922298,14.567911750409612,15.686257413679902,19.41403249496778,,,
228 VA Clinic,,18.064325951701928,18.064325951701928,18.064325951701928,18.064325951701928,18.064325951701928,16.36145790390218,15.7226540690739,17.68798582770814,18.064325951701928,19.690442606543343,,,,,,,17.32700652510185,17.32700652510185,17.32700652510185,17.78990717087461,,,
233 Decker/Daffan Ln,,18.30294502254216,18.30294502254216,18.30294502254216,18.30294502254216,16.538522301860077,16.538522301860077,16.538522301860077,16.538522301860077,16.538522301860077,16.41195197812135,16.41195197812135,16.41195197812135,,,,,,17.11033291336056,17.22485990742589,17.94556534288304,,,
237 Northeast Feeder,,19.311622836477223,19.311622836477223,19.311622836477223,19.311622836477223,19.311622836477223,16.024538098353442,16.024538098353442,16.024538098353442,17.93222120530028,17.93222120530028,17.989330190030536,18.104646409197397,16.6666500637733,,,,14.575314687054249,14.520950333340844,14.577160463663454,19.478102343688235,,,
243 Wells Branch,,16.474418298884757,16.482036846014154,16.510533758183357,16.475497664562152,16.483489368509176,16.44991881469723,13.175431717801121,14.446669612155471,16.8885284866332,18.149299500204748,18.167454486493135,18.173756800002103,18.158286012817534,17.501555211145803,16.792025842618024,17.066187466147664,16.26035330691245,16.109305391886984,16.070225112140847,16.49285327573062,,,
271 Del Valle,,18.48848009442619,18.489172858218698,18.485115980032774,18.48848009442619,18.489172858218698,17.474291565979907,16.631628876406527,17.725928150377914,17.75508564355807,18.608897069572404,18.724512200929073,18.7266440586238,19.691581885221282,,,20.132696674507937,18.079239807615323,16.97452989129502,17.033207919467188,17.760522248618926,,,
3 Burnet/Menchaca,18.95178886699127,13.260030488436641,13.195275718754596,13.272707184821911,12.96015748879489,12.267589945811194,11.406754223051738,11.157020225164201,11.867221600653929,13.333875225550829,14.144396792440217,14.709731368607793,17.320256686126605,18.01965732303929,18.215183359026863,12.603880908634567,11.744340309718533,14.055014515305036,12.425411440552569,12.915753377085949,13.15647893885947,,,
30 Barton Creek Sq,,15.485413329681293,15.658478182411951,15.66624803835871,15.657337914319807,14.553832758498805,14.323936882880254,14.289780223010737,14.32410476298382,14.283873364694486,15.824628756320735,16.260469882717622,16.230607371339058,16.211537014461822,15.90271746412775,,16.011249129835473,15.832226906156313,14.674996394947751,14.670050330499652,14.54819491281769,,,
300 Springdale/Oltorf,22.554926528818424,13.549938531717881,13.52806322864174,13.515210741192657,13.449086022961696,12.884945667782242,12.026550874138518,11.50062216549649,11.735621585686884,12.976452388494431,13.649470309303359,14.75342594482871,16.243668991030855,16.53739547502957,15.643814912580986,13.121167404906103,13.81931987201107,14.173716980143539,13.502296775458515,13.579617403714803,13.614299467866337,,,
310 Parker/Wickersham,,12.616703162945154,12.616703162945154,12.616703162945154,12.616703162945154,12.616703162945154,12.187648973941052,11.659925875563065,11.659925875563065,12.806267887017754,12.884543788750694,12.884543788750694,12.884543788750694,12.870163717557892,,,13.346836447837813,13.346836447837813,11.768596223730203,11.71917346639418,12.563419714534522,,,
311 Stassney,17.448946633800336,15.92973612142946,15.930624583359704,15.930624583359704,15.930624583359704,15.296571584374503,15.064829769046677,15.064829769046677,15.064829769046677,15.064829769046677,16.67003480766311,17.441809922239234,17.440826410473502,17.429388256511054,17.324554234403678,14.676714320487156,17.108339166655906,16.527211289935106,14.657959280954168,14.66111782883245,14.893095238769925,,,
315 Ben White,,14.655235500808091,14.655235500808091,14.655235500808091,14.543380361224582,14.271931575376579,13.964200979588506,13.617777475942912,13.514448791373338,13.704545540574342,14.743656046623485,14.746195118649597,14.72538366450724,14.648901114785955,11.310466332901088,,17.023898822963886,15.371613801313458,14.722279438166083,14.634036839814673,14.656872774353035,,,
318 Westgate/Slaughter,,17.28161465582354,17.28161465582354,17.28161465582354,17.28161465582354,16.30830719711007,16.462839482616484,16.462839482616484,16.462839482616484,16.49852274789977,18.099362313247738,18.681273688566808,18.681487384216414,18.70452652815752,17.725093244140304,,17.70426284034096,17.401922429047932,16.284105225951354,16.096772638036995,17.152959452772066,,,
322 Chicon/Cherrywood,,18.96875937710693,18.96875937710693,18.96875937710693,18.968079128887975,18.706009916716678,17.449167145156768,17.449167145156768,17.49971025748222,19.31604666617001,19.36220430014576,19.701165277973637,19.676349306369136,20.477470187206695,,,20.00705015290425,19.726514608909607,18.772752086383846,18.341849093455714,18.707839106875586,,,
323 Anderson,,13.767379314232459,13.767379314232459,13.767379314232459,13.767379314232459,13.767379314232459,13.276077118244782,12.818631888289946,12.818631888289946,13.643955375800056,14.582868681277587,14.582868681277587,14.582868681277587,14.532233720578706,,,14.139470647049551,13.522724754528811,13.522724754528811,13.522724754528811,13.812816209658967,,,
324 Georgian/Ohlen,,12.254103112312192,12.184868085324728,12.171055726761884,12.171055726761884,11.55446123807602,11.398562768081652,11.398562768081652,11.398562768081652,11.60189831170774,12.54826150160134,13.159647466274645,13.465681863997132,13.469301670949818,13.614677784190128,,13.469301670949818,13.480535450491894,12.210810091650984,12.116313347181245,12.21310087625537,,,
325 Metric/Rundberg,14.43504637537185,13.715335323884942,13.6888769242083,13.675323580718986,13.675323580718986,13.043309060641608,12.130623817210042,12.010501579587979,12.010501579587979,12.04169184361189,13.670868854685374,14.15512933777869,14.151718049719443,14.151718049719443,14.094079648898985,,13.488356266138842,13.426289970252526,12.550374277012844,12.383810654386888,13.341622769327378,,,
333 William Cannon,,15.751665722178712,15.751665722178712,15.751665722178712,15.698737361573935,14.976895398171502,14.673566202598488,14.853711116709675,14.856748116866004,15.037964297812687,17.089309617196893,17.513834057815117,17.515243923986258,17.511557881003036,17.90237892892262,10.657657111488335,16.70285658415493,15.775166904428131,14.93478574985733,15.203994373088152,15.777409993201324,,,
335 335 35th/38th,12.51420978191601,11.854921130185037,11.842668018016338,11.842668018016338,11.842668018016338,11.284378299672069,11.18018876497162,10.555825154083076,10.440246805356509,10.751617643488375,11.196501747983461,12.057695989059065,12.42367573915075,12.42367573915075,12.400348708782914,,12.331096190592673,12.258626618055604,10.939656690776067,10.966341386296948,11.722135760550263,,,
337 Koenig/Colony Park,,13.287979045771069,13.36649293145756,13.36649293145756,13.36649293145756,12.756566432534616,12.204473052735942,12.14661304120687,12.052661871874195,12.545697421841359,14.250960628438907,14.448535486767696,14.457058069386692,14.414665959787152,14.81871508531797,14.93554623647477,14.618471031747331,14.34993606650499,12.80945162053576,12.54568501056902,12.96025152299398,,,
339 Tuscany,,14.3839616423995,14.3839616423995,14.3839616423995,14.3839616423995,14.3839616423995,14.3839616423995,12.421139724787253,12.421139724787253,13.717008243215599,15.624831572817767,15.624831572817767,15.624831572817767,15.73514690467201,,,,12.66034854972966,12.751299329540936,12.751299329540936,14.466021733268937,,,
345 45TH,,12.638362134624197,12.638362134624197,12.638362134624197,12.638362134624197,12.638362134624197,12.638362134624197,12.162041953671027,12.162041953671027,14.320984312310854,14.4062282665508,14.4062282665508,14.4062282665508,14.4062282665508,,,14.4062282665508,14.4062282665508,12.704705242942435,12.638362134624197,12.638362134624197,,,
350 Airport Blvd,,15.799248718859388,15.799248718859388,15.799248718859388,15.799248718859388,13.497313319938764,11.955341377507676,11.849313303920065,11.921030346315584,13.86360743895267,17.432549300591116,18.01808209586635,18.03078102378303,17.906181956785275,18.68969849691077,,15.513984505879982,15.485971687471306,14.067966502901033,14.093444218705246,15.941788204001409,,,
383 Research/Braker,,15.81697353514124,15.81697353514124,15.81697353514124,15.81697353514124,15.20912998870903,14.571291047519052,14.571291047519052,14.571291047519052,14.571291047519052,15.871287859061292,17.82821211437885,17.931668306986666,17.91612600634986,18.912870809352416,,17.523087492683356,16.661448071094437,15.039534660867597,15.013947829237276,15.448273125518265,,,
392 Braker,,15.666349935198797,15.696266861142815,15.676686883698407,15.69074422826204,14.84541059578877,14.686141320711144,14.555444326604416,14.35850812076837,15.050855621464883,17.003531811576586,17.720869478575775,17.65174540335878,17.66557753991346,16.790994995803796,,16.796303945850664,16.404081852662323,15.76001316526837,15.764508443327816,15.67583285755556,,,
4 7th Street,12.222413718044365,11.473228989267563,11.187094234223906,10.900522051367354,10.900522051367354,10.900522051367354,9.677987622587477,9.612967293745935,8.785326539102776,10.610989924845638,11.261769659606376,12.078311323046954,12.211022838530809,12.211022838530809,12.216531902010656,,12.222413718044365,11.657259378660742,11.288795202663298,10.963074253579341,11.31529023637019,,,
465 MLK/University of Texas,,16.898189742555104,16.898189742555104,16.898189742555104,16.898189742555104,16.42760724339534,16.898189742555104,15.904178581228331,15.904178581228331,15.904178581228331,15.904178581228331,,,,,,,15.020613104493421,15.020613104493421,15.020613104493421,15.65855420159546,,,
466 Kramer/Domain,,13.632562740058084,13.632562740058084,13.632562740058084,13.632562740058084,13.632562740058084,12.222297629017593,12.222297629017593,12.222297629017593,12.222297629017593,,,,,,,,14.379173681197168,12.658808258625365,12.658808258625365,13.451485056603804,,,
481 Night Owl North Lamar,22.98897529716904,,,,,,,,,,,,,,,13.072798005330478,,,,,,22.597738046006075,22.597738046006075,22.585675707549107
483 Night Owl Riverside,16.994083736361528,,,,,,,,,,,,,,,,,,,,,16.994083736361528,16.994083736361528,16.994083736361528
484 Night Owl South Lamar,18.76586718728594,,,,,,,,,,,,,,,,,,,,,18.76586718728594,18.76586718728594,18.76586718728594
485 Night Owl Cameron,19.7264188988165,,,,,,,,,,,,,,,18.71778106576436,,,,,,19.6047777108069,19.6047777108069,19.6047777108069
486 Night Owl South Congress,19.745469981076244,,,,,,,,,,,,,,,,,,,,,19.745469981076244,19.745469981076244,19.745469981076244
5 Woodrow/Lamar,,11.099910667456406,11.099910667456406,11.099910667456406,11.099910667456406,10.45266698673298,10.34832992988145,10.229664261769459,10.146067293741183,10.77574309569236,11.36328388170629,12.660342100952796,12.94839294757709,12.970088500172524,13.556781076252129,,13.108118189529112,12.709635577368601,11.780836451195416,11.671322439156452,11.322489045184904,,,
50 Round Rock Howard Station,,17.607381757462047,17.607381757462047,17.607381757462047,17.607381757462047,17.030466900476174,16.042281156798754,16.042281156798754,16.042281156798754,18.318527859317673,18.997438211998524,21.588556105175183,,,,,,17.650192945308532,18.66706832910351,16.595463265653883,17.017644287734655,,,
51 Round Rock Circulator,,16.799356510863383,16.799356510863383,17.38249484629496,16.799356510863383,16.285135224948586,15.494618249528981,15.220377349477705,15.620454299574726,15.899390983495701,,,,,,,,17.071017045426455,17.122421059149218,17.122421059149218,16.868315031432132,,,
550 Metro Rail Red Line,,28.314704230764104,23.995512059969577,27.447352294462362,28.74589262006508,29.69968409619706,28.238084409675434,20.86305398424344,23.316253880413587,29.215073866189183,31.58403146600838,37.73078113404743,,,,,37.573124439424134,29.805335638531506,24.938141323402842,26.161027412816647,26.35941871533993,,,
6 East 12th,,9.969668466405054,9.969668466405054,9.969668466405054,9.979764901219687,10.115211071754032,10.115211071754032,10.115211071754032,10.126956975456766,10.50007470740851,11.982126494232482,11.985158199613426,11.991430962104502,11.266492323303666,,10.885492795699435,10.831896475476393,10.611042121561054,10.429229853849879,10.418232953126031,10.397235959674267,,,
640 Forty Acres,,7.53959397222218,7.53959397222218,7.53959397222218,7.53959397222218,6.5606964122927796,6.33325893666663,6.33325893666663,6.33325893666663,7.388596853976237,7.53959397222218,7.53959397222218,7.53959397222218,7.53959397222218,7.53959397222218,,,,7.53959397222218,7.53959397222218,7.53959397222218,,,
641 East Campus,,9.015625598604686,9.015625598604686,9.015625598604686,9.015625598604686,9.015625598604686,9.015625598604686,9.015625598604686,9.015625598604686,9.015625598604686,9.015625598604686,9.015625598604686,9.015625598604686,9.015625598604686,5.49311929322832,,,9.147393897069543,9.015625598604686,9.015625598604686,9.015625598604686,,,
642 West Campus/UT,,6.988603350152771,6.902116036662375,6.902116036662375,6.902116036662375,6.902116036662375,6.692121867710093,6.672045502106962,6.672045502106962,6.672045502106962,7.081180367802201,7.148620180828888,7.148620180828888,7.148620180828888,7.479510754342369,,,,7.148620180828888,7.148620180828888,7.148620180828888,,,
656 Intramural Fields/UT,,10.075142590267262,10.075142590267262,10.075142590267262,10.075142590267262,10.01866044691733,9.486172925255481,9.464527887826822,9.46452788782682,10.47372605398849,10.769980010285693,10.769980010285694,10.769980010285693,10.769980010285693,10.760235079156955,,,,10.075142590267262,10.07514259026726,10.07514259026726,,,
661 Far West/UT,19.7225654510305,18.606646166716914,18.606646166716914,18.606646166716914,18.219918476644178,16.062907732834965,14.59756862601683,16.392001452239388,15.920847904496561,16.392001452239388,20.11388845396493,20.44014779628391,20.097848670508817,20.44014779628391,20.44014779628391,,,16.827316094131024,17.779684114862825,17.779684114862825,18.183767844746075,,,
663 Lake Austin/UT,,12.12742842148886,12.12742842148886,12.12742842148886,12.12742842148886,11.053605778003396,11.038286270211044,11.038286270211044,11.038286270211044,11.038286270211044,13.05652824776369,13.693859853177072,13.693859853177072,13.693859853177072,13.693859853177072,,,10.437024060172725,11.824934988488424,11.824934988488424,12.050768567318572,,,
670 Crossing Place,,17.63503430705951,16.598299265627087,15.826312839668791,15.636976232860649,14.339091665630919,12.443519122628345,10.110543302556733,9.834184514532097,12.56303101873174,14.315257844926546,16.031849370054104,17.601507625867384,18.68809354658956,18.703824265063115,,,13.478851310225721,13.603905573399077,15.155178083717827,17.019886963934454,,,
671 North Riverside,,14.978022350327864,14.84461383337979,14.60247644935851,14.602476449358507,13.295687597334643,11.672030911655725,10.812780168635149,,,,,,,,,,,13.057728905114294,13.580927377891532,14.945686246351515,,,
672 Lakeshore,,17.806518271182508,17.557894105878642,16.852003934411833,16.852003934411833,15.754156588408586,13.36110071339684,13.413643543534885,,,,,,,,,,22.23046881591912,16.279913048008545,14.97852321360495,17.550270443348953,,,
680 North Riverside/Lakeshore,,,,,,,,8.290690011822514,8.034355802873687,8.793156073145093,10.267612949573785,11.993420683003869,12.955006405278562,15.272323705988844,15.272323705988844,,,,,,,,,
7 Duval / Dove Springs,13.268958693948594,11.747538907925117,11.659634871570843,11.62938636757716,11.480000162528727,10.881325363704123,10.412174583057183,9.779877553731524,10.227428415785011,11.49785779667,12.39920689141024,12.992464317785158,13.390681721590253,13.42622236612208,13.47245279243247,12.089895728741288,11.636739170791653,10.873109803483716,10.729491318766817,11.106864249711418,11.549787716438766,,,
801 N Lamar S Congress,20.129696944765193,16.32109181248587,16.168258166057537,16.168258166057537,16.168258166057537,16.13459408501963,15.443766421743211,14.509907161608448,15.102733460507704,16.379853728058183,17.62483412532061,17.959152284154143,18.817872118963088,18.984115532917723,19.007206823820727,16.436548367281116,15.163453817263525,17.936078431320304,16.74695652454989,17.071655014893572,16.977275958165027,,,
803 Burnet/S Lamar,17.089122118941525,16.84063157822009,16.635996284358583,16.12183932408962,15.884153234749668,15.331276520356116,14.61392390594762,14.09851317445776,14.06404501794691,15.167975571788093,16.90264581473622,17.147654329223347,17.351201608751854,17.444859095768468,17.44209047827493,,14.751026431076927,17.4589943398467,16.4825259955347,16.496881275675246,16.590813084871538,,,
935 Tech Ridge Express,,,,,,,16.49513030220172,14.117519286554613,13.914444601974417,18.5473615058593,,,,,,,39.72367321611766,17.63635700271563,15.404411257739191,15.404411257739191,8.739015910530862,,,
980 North Mopac Express,,,,,,,20.227054676225475,20.50189234129449,17.992670729433126,24.139324853459645,27.76174686539676,,,,,,28.495570678028812,24.91266297956414,21.26576338594472,20.193102812811365,20.193102812811365,,,
981 Oak Knoll Express,,,,,,,,6.885430464141732,15.98784901533108,22.237720786060507,,,,,,,,24.095119325730742,20.878701680293826,,,,,
982 Pavilion Express,,18.01820315475787,18.047577662502746,18.047577662502746,18.047577662502746,18.012519160124974,17.81288874621532,15.388735426996764,15.746196073207933,15.264461902812878,17.580231978045045,20.12901816115664,20.02064999180685,19.96734288870582,,,22.35900935774705,21.834194547662406,18.059220137954025,17.519142630082598,17.6462333524804,,,
985 Leander/Lakeline Direct,,36.175149154491926,34.90584567538695,34.70290471215795,34.70290471215795,32.97734591431585,32.97734591431585,31.72875394865519,29.295612207076044,32.183139524574955,37.777845636020054,37.777845636020054,37.777845636020054,39.15408335948985,45.261277695206985,36.07027495410662,32.8371386292151,32.905133544245636,31.944303609735808,32.80065729078812,36.091300678168906,,,
987 Leander/Lakeline Express,,15.772061860309964,,,,,23.009247417431123,23.465888522476828,23.180877730705856,28.25169473429776,35.671356900492135,,,,,,41.26631087151047,30.42682005227692,26.87772389370463,26.88767458577621,26.475725834119185,,,
990 Manor/Elgin Express,,,,,,,,15.26275483617102,23.230926541905948,20.999615023854368,29.110054647960272,,,,,,29.493168063297556,16.363685853328786,22.420052544015086,19.5886232343377,,,,
All lines,19.54174764673188,16.456535114114097,16.356064420832496,16.269091075171765,16.28490811757676,15.634214005937427,15.25015552990781,14.81665281172443,15.008143033689054,16.35032732277995,17.45586975551813,17.331789754030645,17.503185774619382,17.162657699250822,17.519555112526344,15.160899764445867,16.508844107469784,17.155934256205565,16.208105600399584,16.145892449015843,16.440059207597837,20.582191280790738,20.5948688007943,20.576725303394316
