,Kiosk ID,Number of Docks,geometry,LocationX,LocationY,index_right,GEOID,STATE,COUNTY,TRACT,BLKGRP,CENTLAT,CENTLON
0,2548,15,POINT (-97.74181 30.28576),-97.74181,30.28576,431,4.8453E+11,48,453,604,2,30.2849961,-97.7433474
16,2547,13,POINT (-97.74198 30.28395),-97.74198,30.28395,431,4.8453E+11,48,453,604,2,30.2849961,-97.7433474
1,2549,13,POINT (-97.74970999999999 30.25941),-97.74971,30.25941,568,4.8453E+11,48,453,1305,1,30.257711,-97.7514821
19,2567,15,POINT (-97.75346 30.25971),-97.75346,30.25971,568,4.8453E+11,48,453,1305,1,30.257711,-97.7514821
90,2502,0,POINT (-97.74872000000001 30.2587),-97.74872,30.2587,568,4.8453E+11,48,453,1305,1,30.257711,-97.7514821
2,2552,13,POINT (-97.75189 30.2678),-97.75189,30.2678,243,4.8453E+11,48,453,1200,2,30.2719882,-97.7594277
8,2501,15,POINT (-97.75332 30.2696),-97.75332,30.2696,243,4.8453E+11,48,453,1200,2,30.2719882,-97.7594277
18,2566,19,POINT (-97.75484 30.26717),-97.75484,30.26717,243,4.8453E+11,48,453,1200,2,30.2719882,-97.7594277
36,3377,19,POINT (-97.77028 30.27466),-97.77028,30.27466,243,4.8453E+11,48,453,1200,2,30.2719882,-97.7594277
39,3685,13,POINT (-97.75246 30.27217),-97.75246,30.27217,243,4.8453E+11,48,453,1200,2,30.2719882,-97.7594277
63,4050,13,POINT (-97.76483 30.27489),-97.76483,30.27489,243,4.8453E+11,48,453,1200,2,30.2719882,-97.7594277
3,2561,13,POINT (-97.73805 30.27336),-97.73805,30.27336,506,4.8453E+11,48,453,700,1,30.2777004,-97.7411232
13,2540,12,POINT (-97.74254000000001 30.27974),-97.74254,30.27974,506,4.8453E+11,48,453,700,1,30.2777004,-97.7411232
50,4879,12,POINT (-97.74370999999999 30.27924),-97.74371,30.27924,506,4.8453E+11,48,453,700,1,30.2777004,-97.7411232
56,3635,13,POINT (-97.74487999999999 30.27616),-97.74488,30.27616,506,4.8453E+11,48,453,700,1,30.2777004,-97.7411232
85,1005,,POINT (-97.73715 30.27907),-97.73715,30.27907,506,4.8453E+11,48,453,700,1,30.2777004,-97.7411232
92,2538,,POINT (-97.73809 30.28039),-97.73809,30.28039,506,4.8453E+11,48,453,700,1,30.2777004,-97.7411232
93,2541,,POINT (-97.74155 30.27654),-97.74155,30.27654,506,4.8453E+11,48,453,700,1,30.2777004,-97.7411232
94,2545,,POINT (-97.74739 30.27595),-97.74739,30.27595,506,4.8453E+11,48,453,700,1,30.2777004,-97.7411232
95,2546,,POINT (-97.74831 30.27624),-97.74831,30.27624,506,4.8453E+11,48,453,700,1,30.2777004,-97.7411232
4,2562,13,POINT (-97.73985999999999 30.26912),-97.73986,30.26912,113,4.8453E+11,48,453,1100,1,30.2685431,-97.7431416
7,2499,19,POINT (-97.74678 30.26476),-97.74678,30.26476,113,4.8453E+11,48,453,1100,1,30.2685431,-97.7431416
11,2537,13,POINT (-97.75046 30.27041),-97.75046,30.27041,113,4.8453E+11,48,453,1100,1,30.2685431,-97.7431416
12,2539,12,POINT (-97.74023 30.26426),-97.74023,30.26426,113,4.8453E+11,48,453,1100,1,30.2685431,-97.7431416
17,2565,11,POINT (-97.73933 30.26735),-97.73933,30.26735,113,4.8453E+11,48,453,1100,1,30.2685431,-97.7431416
22,2571,13,POINT (-97.73645999999999 30.26854),-97.73646,30.26854,113,4.8453E+11,48,453,1100,1,30.2685431,-97.7431416
24,2497,18,POINT (-97.74127 30.2726),-97.74127,30.2726,113,4.8453E+11,48,453,1100,1,30.2685431,-97.7431416
25,2498,17,POINT (-97.739 30.26483),-97.739,30.26483,113,4.8453E+11,48,453,1100,1,30.2685431,-97.7431416
32,3291,11,POINT (-97.73854 30.27193),-97.73854,30.27193,113,4.8453E+11,48,453,1100,1,30.2685431,-97.7431416
35,3294,12,POINT (-97.7462 30.26911),-97.7462,30.26911,113,4.8453E+11,48,453,1100,1,30.2685431,-97.7431416
38,3684,11,POINT (-97.74508 30.26332),-97.74508,30.26332,113,4.8453E+11,48,453,1100,1,30.2685431,-97.7431416
48,4047,9,POINT (-97.74441 30.27059),-97.74441,30.27059,113,4.8453E+11,48,453,1100,1,30.2685431,-97.7431416
51,3390,13,POINT (-97.74154 30.26754),-97.74154,30.26754,113,4.8453E+11,48,453,1100,1,30.2685431,-97.7431416
52,3455,13,POINT (-97.74805000000001 30.26753),-97.74805,30.26753,113,4.8453E+11,48,453,1100,1,30.2685431,-97.7431416
54,3619,11,POINT (-97.74285 30.26822),-97.74285,30.26822,113,4.8453E+11,48,453,1100,1,30.2685431,-97.7431416
55,3621,11,POINT (-97.74929 30.26697),-97.74929,30.26697,113,4.8453E+11,48,453,1100,1,30.2685431,-97.7431416
64,4051,13,POINT (-97.73578000000001 30.27024),-97.73578,30.27024,113,4.8453E+11,48,453,1100,1,30.2685431,-97.7431416
75,1001,,POINT (-97.73997 30.27186),-97.73997,30.27186,113,4.8453E+11,48,453,1100,1,30.2685431,-97.7431416
76,2494,15,POINT (-97.74355 30.26408),-97.74355,30.26408,113,4.8453E+11,48,453,1100,1,30.2685431,-97.7431416
77,2495,15,POINT (-97.74378 30.26634),-97.74378,30.26634,113,4.8453E+11,48,453,1100,1,30.2685431,-97.7431416
78,2496,14,POINT (-97.74186 30.2698),-97.74186,30.2698,113,4.8453E+11,48,453,1100,1,30.2685431,-97.7431416
79,4060,13,POINT (-97.73869999999999 30.26214),-97.7387,30.26214,113,4.8453E+11,48,453,1100,1,30.2685431,-97.7431416
83,1003,,POINT (-97.74563000000001 30.27106),-97.74563,30.27106,113,4.8453E+11,48,453,1100,1,30.2685431,-97.7431416
87,1007,,POINT (-97.74525 30.26889),-97.74525,30.26889,113,4.8453E+11,48,453,1100,1,30.2685431,-97.7431416
88,1008,,POINT (-97.74939000000001 30.26694),-97.74939,30.26694,113,4.8453E+11,48,453,1100,1,30.2685431,-97.7431416
89,2500,,POINT (-97.74802 30.26751),-97.74802,30.26751,113,4.8453E+11,48,453,1100,1,30.2685431,-97.7431416
96,2550,,POINT (-97.74692 30.26774),-97.74692,30.26774,113,4.8453E+11,48,453,1100,1,30.2685431,-97.7431416
5,2563,19,POINT (-97.73845 30.26019),-97.73845,30.26019,475,4.8453E+11,48,453,1100,2,30.2579159,-97.7398052
29,2707,17,POINT (-97.73981999999999 30.25579),-97.73982,30.25579,475,4.8453E+11,48,453,1100,2,30.2579159,-97.7398052
71,2576,,POINT (-97.73909999999999 30.25802),-97.7391,30.25802,475,4.8453E+11,48,453,1100,2,30.2579159,-97.7398052
6,2711,16,POINT (-97.76118 30.262),-97.76118,30.262,456,4.8453E+11,48,453,1303,1,30.2628867,-97.762128
28,2575,15,POINT (-97.75664999999999 30.26446),-97.75665,30.26446,456,4.8453E+11,48,453,1303,1,30.2628867,-97.762128
40,3686,13,POINT (-97.76385000000001 30.26406),-97.76385,30.26406,456,4.8453E+11,48,453,1303,1,30.2628867,-97.762128
72,2712,,POINT (-97.75824 30.26304),-97.75824,30.26304,456,4.8453E+11,48,453,1303,1,30.2628867,-97.762128
9,2503,9,POINT (-97.74926000000001 30.25103),-97.74926,30.25103,485,4.8453E+11,48,453,1305,3,30.2452677,-97.7539204
10,2504,13,POINT (-97.75019 30.24891),-97.75019,30.24891,485,4.8453E+11,48,453,1305,3,30.2452677,-97.7539204
14,2542,12,POINT (-97.72743 30.26217),-97.72743,30.26217,41,4.8453E+11,48,453,902,4,30.2619393,-97.7293714
33,3292,9,POINT (-97.72373 30.25987),-97.72373,30.25987,41,4.8453E+11,48,453,902,4,30.2619393,-97.7293714
37,3660,11,POINT (-97.73165 30.26455),-97.73165,30.26455,41,4.8453E+11,48,453,902,4,30.2619393,-97.7293714
68,4057,13,POINT (-97.72438 30.26269),-97.72438,30.26269,41,4.8453E+11,48,453,902,4,30.2619393,-97.7293714
82,1002,,POINT (-97.72864 30.26383),-97.72864,30.26383,41,4.8453E+11,48,453,902,4,30.2619393,-97.7293714
91,2536,,POINT (-97.73049 30.26461),-97.73049,30.26461,41,4.8453E+11,48,453,902,4,30.2619393,-97.7293714
97,2564,,POINT (-97.73289 30.26416),-97.73289,30.26416,41,4.8453E+11,48,453,902,4,30.2619393,-97.7293714
15,2544,11,POINT (-97.71475 30.25895),-97.71475,30.25895,48,4.8453E+11,48,453,902,2,30.2570243,-97.7106188
30,2822,13,POINT (-97.71899000000001 30.26032),-97.71899,30.26032,48,4.8453E+11,48,453,902,2,30.2570243,-97.7106188
31,2823,13,POINT (-97.71007 30.2563),-97.71007,30.2563,48,4.8453E+11,48,453,902,2,30.2570243,-97.7106188
73,3381,,POINT (-97.71002 30.26025),-97.71002,30.26025,48,4.8453E+11,48,453,902,2,30.2570243,-97.7106188
20,2568,11,POINT (-97.72843 30.26896),-97.72843,30.26896,39,4.8453E+11,48,453,804,2,30.2703213,-97.7245579
65,4052,13,POINT (-97.72431 30.26888),-97.72431,30.26888,39,4.8453E+11,48,453,804,2,30.2703213,-97.7245579
67,4055,13,POINT (-97.7214 30.26638),-97.7214,30.26638,39,4.8453E+11,48,453,804,2,30.2703213,-97.7245579
21,2569,11,POINT (-97.73074 30.26968),-97.73074,30.26968,43,4.8453E+11,48,453,901,2,30.2664785,-97.7273353
23,2574,17,POINT (-97.76822 30.2659),-97.76822,30.2659,477,4.8453E+11,48,453,1911,1,30.2643759,-97.7782884
27,2572,13,POINT (-97.77119999999999 30.26452),-97.7712,30.26452,477,4.8453E+11,48,453,1911,1,30.2643759,-97.7782884
86,1006,,POINT (-97.76826 30.26587),-97.76826,30.26587,477,4.8453E+11,48,453,1911,1,30.2643759,-97.7782884
26,2570,10,POINT (-97.74854000000001 30.25226),-97.74854,30.25226,176,4.8453E+11,48,453,1401,1,30.2539733,-97.7445991
53,3513,13,POINT (-97.74592 30.25839),-97.74592,30.25839,176,4.8453E+11,48,453,1401,1,30.2539733,-97.7445991
57,3687,9,POINT (-97.74258 30.25457),-97.74258,30.25457,176,4.8453E+11,48,453,1401,1,30.2539733,-97.7445991
62,4048,13,POINT (-97.74755 30.25495),-97.74755,30.25495,176,4.8453E+11,48,453,1401,1,30.2539733,-97.7445991
34,3293,10,POINT (-97.71665 30.25542),-97.71665,30.25542,40,4.8453E+11,48,453,902,3,30.2568324,-97.7178294
41,3790,13,POINT (-97.77272000000001 30.27807),-97.77272,30.27807,403,4.8453E+11,48,453,1602,3,30.2830041,-97.7790999
42,3795,19,POINT (-97.74041 30.2898),-97.74041,30.2898,344,4.8453E+11,48,453,601,2,30.2860516,-97.7376998
43,3797,19,POINT (-97.73953 30.28354),-97.73953,30.28354,344,4.8453E+11,48,453,601,2,30.2860516,-97.7376998
44,3798,22,POINT (-97.7375 30.283),-97.7375,30.283,344,4.8453E+11,48,453,601,2,30.2860516,-97.7376998
61,3794,19,POINT (-97.73694999999999 30.28953),-97.73695,30.28953,344,4.8453E+11,48,453,601,2,30.2860516,-97.7376998
45,3799,22,POINT (-97.73350000000001 30.2856),-97.7335,30.2856,504,4.8453E+11,48,453,401,2,30.2880599,-97.7281679
84,1004,,POINT (-97.72756 30.2848),-97.72756,30.2848,504,4.8453E+11,48,453,401,2,30.2880599,-97.7281679
46,3838,13,POINT (-97.74292 30.29068),-97.74292,30.29068,575,4.8453E+11,48,453,603,5,30.2926805,-97.7429143
60,3793,13,POINT (-97.74412 30.29333),-97.74412,30.29333,575,4.8453E+11,48,453,603,5,30.2926805,-97.7429143
47,3841,13,POINT (-97.74495 30.28728),-97.74495,30.28728,8,4.8453E+11,48,453,604,3,30.285568,-97.7464636
59,3792,13,POINT (-97.7467 30.2853),-97.7467,30.2853,8,4.8453E+11,48,453,604,3,30.285568,-97.7464636
49,4699,10,POINT (-97.69807 30.25212),-97.69807,30.25212,166,4.8453E+11,48,453,2111,2,30.2532604,-97.6938801
58,3791,13,POINT (-97.78375 30.29439),-97.78375,30.29439,402,4.8453E+11,48,453,1602,1,30.288993,-97.7771771
66,4054,13,POINT (-97.71872999999999 30.26969),-97.71873,30.26969,228,4.8453E+11,48,453,804,1,30.2696968,-97.7174616
69,4058,13,POINT (-97.77234 30.26139),-97.77234,30.26139,476,4.8453E+11,48,453,1901,1,30.2600636,-97.7778863
70,4059,13,POINT (-97.7346 30.252),-97.7346,30.252,480,4.8453E+11,48,453,1000,5,30.2524228,-97.7319454
74,3464,,POINT (-97.75219 30.28118),-97.75219,30.28118,547,4.8453E+11,48,453,1605,3,30.282437,-97.754079
80,4061,15,POINT (-97.72336 30.24472),-97.72336,30.24472,106,4.8453E+11,48,453,2304,2,30.2453808,-97.7285547
81,4062,18,POINT (-97.71726 30.24258),-97.71726,30.24258,222,4.8453E+11,48,453,2304,1,30.2446389,-97.7193636